Term,Type (Power Production/Power Consumption/People/Process/Material),ID,Description,Description Reference,Recommendation(s),Key Federal Law(s),Key Federal Policies/Guidance/Programs,ENERGY STAR Certified (Y/N),EPEAT Registered (Y/N),Other Standards,Notes
hydrogen cell,Power Production,11,"electrochemical cell that combines hydrogen and oxygen to generate electrical energy, with water as the only byproduct; often used to power electric motors.",,"Prioritize hydrogen as a possible alternative to fossil fuel not only for motor vehicles but also for space flight and industrial processes (https://crsreports.congress.gov/product/pdf/IF/IF12163). To make such an alternative viable, focus resources on developing a hydrogen infrastructure that can support various applications such as transportation, industry, power generation, and heating.","42 U.S.C. § 13201 et seq.; (Energy Policy Act of 2005): https://www.govinfo.gov/content/pkg/BILLS-109hr6enr/pdf/BILLS-109hr6enr.pdf

42 U.S.C. Ch. 152 § 17001 et seq. (Energy Independence and Security Act of 2007): https://uscode.house.gov/view.xhtml?path=/prelim@title42/chapter152&edition=prelim

42 U.S.C. ch. 85 § 7401-7671q (Clean Air Act): https://www.govinfo.gov/content/pkg/USCODE-2010-title42/html/USCODE-2010-title42-chap85.htm
",,N,,,
nuclear fission,Power Production,12,"electricity generation via conversion of heat energy from nuclear fission, occurring and contained in reactor cores, into electrical energy using a combination of steam turbines, generators, condensers, cooling and control systems, and containment buildings; type of thermal power station",,"Since the license of the Yucca Mountain repository expired in 2010, disposal of commercial spent nuclear fuel presents a growing challenge, as it is often stored on-site and can pose serious threats to human health and the environment. Therefore, before procuring nuclear power, carefully examine how and where the power plant manages its nuclear waste (https://www.gao.gov/products/gao-21-603)

Especially in areas that lack sufficient or suitable land for solar, wind, hydroelectric, and geothermal power, strongly consider nuclear power as a viable alternative. According to DOE, ""A typical 1,000-megawatt nuclear facility in the United States needs a little more than 1 square mile to operate. NEI says wind farms require 360 times more land area to produce the same amount of electricity and solar photovoltaic plants require 75 times more space."" (https://www.energy.gov/ne/articles/3-reasons-why-nuclear-clean-and-sustainable).

","42 U.S.C. Ch. 108 § 10101; (Nuclear Waste Policy Act of 1982): https://uscode.house.gov/view.xhtml?path=/prelim@title42/chapter108&edition=prelim

10 C.F.R. Part 50: https://www.ecfr.gov/current/title-10/chapter-I/part-50?toc=1

10 C.F.R. Part 51: https://www.ecfr.gov/current/title-10/chapter-I/part-51?toc=1

10 C.F.R. Part 52: https://www.ecfr.gov/current/title-10/chapter-I/part-52?toc=1",,N,,,
nuclear fusion,Power Production,13,"proposed electricity generation via conversation of heat energy from nuclear fusion into electrical energy, and integration with confinement, heating, energy extraction, and tritium breeding systems",https://www.nrc.gov/reactors/new-reactors/advanced/policy-development/fusion-energy.html,,,https://www.nrc.gov/docs/ML2227/ML22273A178.html,N,,,
Light-Emitting Diode (LED),Power Consumption,14,semiconductor material doped with impurities to create a PN-junction that emits light when voltage passes through it,,"To the maximum extent practicable, prioritize procurements of LEDs to reduce energy consumption and maintenance costs compared to incandescent, fluorescent, and High Intensity Discharge (HID) lamps.","42 U.S.C. § 13201 et seq.; (Energy Policy Act of 2005): https://www.govinfo.gov/content/pkg/BILLS-109hr6enr/pdf/BILLS-109hr6enr.pdf

40 U.S.C. § 3313; Procurement of life-cycle cost effective and energy efficient lighting systems; https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title40-section3313&num=0&edition=prelim",,Y,,,
instant-on lighting,Power Consumption,15,"lighting system that activates without a warm-up period, in contrast to fluorescent and High Intensity Discharge (HID) lighting; characteristic of LEDs",,"To the maximum extent practicable, prioritize procurements of LEDs to minimize or eliminate lighting warm-up periods.

Integrate dimmers, sensors, and timers into the lighting system to further reduce lighting usage, thereby further reducing energy consumption.","42 U.S.C. § 13201 et seq.; (Energy Policy Act of 2005): https://www.govinfo.gov/content/pkg/BILLS-109hr6enr/pdf/BILLS-109hr6enr.pdf

40 U.S.C. § 3313; Procurement of life-cycle cost effective and energy efficient lighting systems; https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title40-section3313&num=0&edition=prelim",,Y,,,
battery storage,Power Production,16,electrochemical cell with external connections; device that stores chemical energy and that can convert that chemical energy into electrical energy,,"Rechargable, recycling...

Graphene batteries",,,,,,
economically distressed areas,People,17,"census tracts that experience high levels of unemployment, poverty, and population loss, and low household incomes and economic output, relative to national levels, respectively",,"To the maximum extent practicable, site new data centers within Qualified Opportunity Zones (QOZs) (26 U.S.C. § 1400Z) to revive economically distressed areas and receive tax incentives.

Leverage the Climate and Economic Justice Screening Tool to inform site selection for data centers, in alignment with Justice40 Initiative (https://screeningtool.geoplatform.gov/en/#3/33.47/-97.5)","For QOZ definition, 26 U.S.C. § 1400Z: https://uscode.house.gov/view.xhtml?path=/prelim@title26/subtitleA/chapter1/subchapterZ&edition=prelim","CEQ Justice 40 Initiative: https://www.whitehouse.gov/environmentaljustice/justice40/

E.O. 14057 Sec 301; Executive Order on Catalyzing Clean Energy Industries and Jobs Through Federal Sustainability: https://www.whitehouse.gov/briefing-room/presidential-actions/2021/12/08/executive-order-on-catalyzing-clean-energy-industries-and-jobs-through-federal-sustainability/",N/A,N/A,,
Native American reservations,People,18,"lands, defined by agreement with the Federal Government, that are owned and governed by Native American tribal nations, while also subject to federal law.",18 U.S.C. § 1151: https://www.govinfo.gov/content/pkg/USCODE-2021-title18/pdf/USCODE-2021-title18-partI-chap53-sec1151.pdf,"Where practicable and where supported by the local tribe, consider supporting the development of sustainable data centers and associated clean energy projects on Native American reservations. Consider engagement with federal programs to bolster these efforts, such as the Tribal Energy Loan Guarantee Program (https://www.energy.gov/lpo/tribal-energy-loan-guarantee-program).

On matters related to the development of sustainable data centers, prioritize engagement with Native American tribes that have Tribal Energy Resource Agreements (TERAs) and Tribal Energy Development Organizations (TEDOs) (https://www.bia.gov/service/tribal-energy-resource-agreements-development-organizations)","25 U.S.C. Ch. 46 § 5321-5332: https://uscode.house.gov/view.xhtml?path=/prelim@title25/chapter46&edition=prelim

On TERA, 25 C.F.R. § 224.63: https://www.ecfr.gov/current/title-25/chapter-I/subchapter-I/part-224/subpart-B/subject-group-ECFRf85a0197f7eaeec/section-224.63

On TEDO, 25 C.F.R. § 224.201: https://www.ecfr.gov/current/title-25/chapter-I/subchapter-I/part-224/subpart-J/section-224.201","Indian Affairs, Tribal Energy Resource Agreements and Tribal Energy Development Organizations: https://www.bia.gov/service/tribal-energy-resource-agreements-development-organizations

Tribal funding: https://www.energy.gov/indianenergy/ongoing-funding-opportunities",N/A,N/A,,
U.S. territories,People,19,lands that fall under the jurisdiction of the Federal Government and that are not a state; may be incorporated or unincorporated and organized or unorganized,Interior Office of Insular Affairs: https://www.doi.gov/oia/islands/politicatypes,"To power data centers, prioritize procurement of energy from qualified renewable energy facilities (42 U.S.C. § 13201 et seq)?",42 U.S.C. § 13201 et seq.; (Energy Policy Act of 2005): https://www.govinfo.gov/content/pkg/BILLS-109hr6enr/pdf/BILLS-109hr6enr.pdf,Executive Order on the Implementation of the Energy and Infrastructure Provisions of the Inflation Reduction Act of 2022: https://www.whitehouse.gov/briefing-room/presidential-actions/2022/09/12/executive-order-on-the-implementation-of-the-energy-and-infrastructure-provisions-of-the-inflation-reduction-act-of-2022/,N/A,N/A,,
8(a) Business Development,People,20,"program administered by the Small Business Administration (SBA) that provides training and technical assistance to small, economically-disadvantaged businesses to help them complete for federal contracts.",SBA: https://www.sba.gov/federal-contracting/contracting-assistance-programs/8a-business-development-program,"To the maximum extent practicable, prioritize contract awards for data center-related procurements from 8(a) Business Development program-certified businesses to help the Federal Government increase the amount of contracting dollars awarded to economically-disadvantaged businesses (13 C.F.R. § 124).","For establishment of the 8(a) Business Development program, 15 U.S.C. § 636(j)(10): https://uscode.house.gov/view.xhtml?req=(title:15%20section:636%20edition:prelim)

For additional detail on establishment of the 8(a) Business Development program, 15 U.S.C. § 637(a): https://uscode.house.gov/view.xhtml?req=(title:15%20section:637%20edition:prelim)%20OR%20(granuleid:USC-prelim-title15-section637)&f=treesort&num=0&edition=prelim

For determination of 8(a) Business Development, 13 C.F.R. § 124: https://www.ecfr.gov/current/title-13/chapter-I/part-124?toc=1","SBA: https://www.sba.gov/federal-contracting/contracting-assistance-programs/8a-business-development-program

EO 13990; Protecting Public Health and the Environment and Restoring Science To Tackle the Climate Crisis: https://www.federalregister.gov/documents/2021/01/25/2021-01765/protecting-public-health-and-the-environment-and-restoring-science-to-tackle-the-climate-crisis

E.O. 14057 Sec 301: https://www.whitehouse.gov/briefing-room/presidential-actions/2021/12/08/executive-order-on-catalyzing-clean-energy-industries-and-jobs-through-federal-sustainability/",N/A,N/A,,
education and job training opportunities,People,21,"courses of study in higher education, IT or related certifications, on-the-job training programs, and other approaches to gaining IT knowledge and skills to support the development and operation of sustainable data centers.",,"Consider contract language for data center-related procurements that includes on-the-job training, paid internships, and course offerings/practicums in collaboration with local and regional institutions of higher education. An example provision may be to utilize Workforce Innovation and Opportunity Act (WIOA) programs to seek qualified job candidates (29 U.S.C. § 3101 et seq.).","For the WIOA statute, 29 U.S.C. § 3101 et seq.: https://uscode.house.gov/view.xhtml?req=granuleid%3AUSC-prelim-title29-chapter32&edition=prelim

For additional WIOA laws, regulations, and guidance: https://www.dol.gov/agencies/eta/wioa/guidance","WIOA programs: https://www.dol.gov/agencies/eta/wioa/programs

EO 13990; Protecting Public Health and the Environment and Restoring Science To Tackle the Climate Crisis: https://www.federalregister.gov/documents/2021/01/25/2021-01765/protecting-public-health-and-the-environment-and-restoring-science-to-tackle-the-climate-crisis",N/A,N/A,,
community outreach/involvement,People,22,"engagement with the community to build grassroots support for green data centers, with focus on their favorable local economic and environmental impacts.",,"Federal agencies (or federal advisory committees which represent them) should engage with communities to be affected by the development and operation of green data centers, publically and accessible present the community-specific costs and benefits, and only proceed with associated procurements upon buy-in from key community stakeholders.","42 U.S.C.§ 4321 et seq.; National Environmental Policy Act (NEPA); https://uscode.house.gov/view.xhtml?req=(title:42%20section:4321%20edition:prelim)

5 U.S.C.§ 10; Federal Advisory Committee Act (FACA):  https://www.gsa.gov/cdnstatic/with_annotations_R2G-b4T_0Z5RDZ-i34K-pR_%281%29.doc

","EO 13990; Protecting Public Health and the Environment and Restoring Science To Tackle the Climate Crisis: https://www.federalregister.gov/documents/2021/01/25/2021-01765/protecting-public-health-and-the-environment-and-restoring-science-to-tackle-the-climate-crisis

E.O. 14057 Sec 301; Executive Order on Catalyzing Clean Energy Industries and Jobs Through Federal Sustainability: https://www.whitehouse.gov/briefing-room/presidential-actions/2021/12/08/executive-order-on-catalyzing-clean-energy-industries-and-jobs-through-federal-sustainability/",N/A,N/A,,
telework and remote work,People,23,work arrangements in which employees perform their duties and fulfill their responsibilities at an employer-approved location; routine visits to the employer worksite each pay period refers to telework; no routine visits to the employer worksite each pay period refers to remote work. ,OPM: https://www.telework.gov/guidance-legislation/telework-guidance/telework-guide/guide-to-telework-in-the-federal-government.pdf,"Federal agencies should emphasize telework and remote work for data center operations to reduce carbon dioxide emissions and other greenhouse gas emissions associated with employee travel, and reduce the energy needed for lighting and temperature regulation.

Furthermore, federal procurements of data center services are encouraged to include contract language that emphasizes the maximum practicable amount of telework and remote work for these same reasons.",5 U.S.C.§ 6501-6506: https://uscode.house.gov/view.xhtml?path=/prelim@title5/part3/subpartE/chapter65&edition=prelim,OPM: https://www.telework.gov/guidance-legislation/telework-guidance/telework-guide/guide-to-telework-in-the-federal-government.pdf,N/A,N/A,,
public transportation,People,24,"integrated system of buses, trains, subways, and other modes of travel that is owned and operated by public (i.e., governmental) authorities.",,"To reduce transportation-related energy consumption, locate the development of data centers near public transportation hubs. Further incentivize use of public transportation via public transportation subsidies to data center staff through already-existing program such as TRANServe (https://www.transportation.gov/transerve). For data center staff who are contractors rather than federal employees, consider including contract provisions that require such subsidies or other public transportation benefits.","Infrastructure Investment and Jobs Act: Pub. L. No.117–58, 135 STAT. 429: https://www.govinfo.gov/content/pkg/PLAW-117publ58/pdf/PLAW-117publ58.pdf",DOT TRANServe: https://www.transportation.gov/transerve,N/A,N/A,,
dark data center,Process,25,"data center which operates almost entirely remotely through lights-out management (LOM), consequently, minimizes the need for lighting.",,"Prioritize data center-related procurements, including procurements of cloud services, from dark data centers in order to reduce lighting-related energy consumption. ","42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0

42 U.S.C. § 8254: http://uscode.house.gov/view.xhtml?req=(title:42%20section:8254%20edition:2012)%20OR%20(granuleid:USC-2012-title42-section8254)&f=treesort&num=0&edition=2012

42 U.S.C. § 8253(f)(4): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0

42 U.S.C. § 8259b(d): http://uscode.house.gov/view.xhtml?hl=false&edition=prelim&req=granuleid%3AUSC-prelim-title42-section8259b&f=treesort&fq=true&num=0&saved=%7CZ3JhbnVsZWlkOlVTQy0yMDEyLXRpdGxlNDItc2VjdGlvbjgyNTM%3D%7CdHJlZXNvcnQ%3D%7CdHJ1ZQ%3D%3D%7C0%7Cfalse%7C2012

FAR Part 23.103: https://www.acquisition.gov/far/subpart-23.1

FAR Part 23.802: https://www.acquisition.gov/far/subpart-23.8#FAR_23_802__d1574e12","E.O. 13990: https://www.federalregister.gov/documents/2021/01/25/2021-01765/protecting-public-health-and-the-environment-and-restoring-science-to-tackle-the-climate-crisis

E.O. 14057 Sec 301: https://www.whitehouse.gov/briefing-room/presidential-actions/2021/12/08/executive-order-on-catalyzing-clean-energy-industries-and-jobs-through-federal-sustainability/",N/A,N/A,,
time-of-use (TOU) energy consumption,Process,26,approach by which an energy utility charges a customer's energy consumption according to temporal changes in energy demand from the utility.,,"Federal agencies should procure energy from energy utilities that offer time-variable rate programs (i.e., TOU) to incentivize electricity use at times when demand on the electrical grid is lower and, thus, electricity costs are relatively lower.","42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0

42 U.S.C. § 8254: http://uscode.house.gov/view.xhtml?req=(title:42%20section:8254%20edition:2012)%20OR%20(granuleid:USC-2012-title42-section8254)&f=treesort&num=0&edition=2012

42 U.S.C. § 8253(f)(4): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0

42 U.S.C. § 8259b(d): http://uscode.house.gov/view.xhtml?hl=false&edition=prelim&req=granuleid%3AUSC-prelim-title42-section8259b&f=treesort&fq=true&num=0&saved=%7CZ3JhbnVsZWlkOlVTQy0yMDEyLXRpdGxlNDItc2VjdGlvbjgyNTM%3D%7CdHJlZXNvcnQ%3D%7CdHJ1ZQ%3D%3D%7C0%7Cfalse%7C2012

FAR Part 23.103: https://www.acquisition.gov/far/subpart-23.1

FAR Part 23.802: https://www.acquisition.gov/far/subpart-23.8#FAR_23_802__d1574e12",,,,,
virtualization management,Process,27,"approach, aided by software, that allows for administration and monitoring of virtualized machines for more efficient utilization of underlying physical machines.",,"Use application rationalization to maximize the extent to which you can virtualize your IT infrastructure and to consolidate servers, which in turn reduces energy consumption and electricity costs. Leverage power management features to further reduce energy consumption and electricity costs during low utilization of computing resources.","42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0

42 U.S.C. § 8254: http://uscode.house.gov/view.xhtml?req=(title:42%20section:8254%20edition:2012)%20OR%20(granuleid:USC-2012-title42-section8254)&f=treesort&num=0&edition=2012

42 U.S.C. § 8253(f)(4): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0

42 U.S.C. § 8259b(d): http://uscode.house.gov/view.xhtml?hl=false&edition=prelim&req=granuleid%3AUSC-prelim-title42-section8259b&f=treesort&fq=true&num=0&saved=%7CZ3JhbnVsZWlkOlVTQy0yMDEyLXRpdGxlNDItc2VjdGlvbjgyNTM%3D%7CdHJlZXNvcnQ%3D%7CdHJ1ZQ%3D%3D%7C0%7Cfalse%7C2012

FAR Part 23.103: https://www.acquisition.gov/far/subpart-23.1

FAR Part 23.802: https://www.acquisition.gov/far/subpart-23.8#FAR_23_802__d1574e12",The Application Rationalization Playbook: https://www.cio.gov/assets/files/Application-Rationalization-Playbook.pdf,,,,V-Motion is a commercially available example.
turning off failover servers until needed,Process,28,"power down failover servers, or backup servers that automatically turn on if the primary server cannot be accessed, until primary server cannot be accessed.",,Failover servers should be powered down until primary servers fail to reduce energy consumption and save on electricity costs.,42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,,,,,
